130.191.21.175	mms.sdsu.edu
130.191.21.176	jhadur.sdsu.edu
130.191.21.177	morden.sdsu.edu
130.191.21.180	capturedev.sdsu.edu
130.191.21.199	bats.sdsu.edu
130.191.21.202	roomservice.sdsu.edu
130.191.21.203	itsorcl.sdsu.edu
130.191.21.209	its-big-momma.sdsu.edu
130.191.21.210	its-dept.sdsu.edu
130.191.21.212	mediasite6.sdsu.edu
130.191.21.213	msvideo.sdsu.edu
130.191.21.215	msvideo1.sdsu.edu
130.191.21.219	roomservice2.sdsu.edu
130.191.21.228	itsstorage.sdsu.edu
130.191.21.229	itsdev1.sdsu.edu
130.191.21.230	itsdev2.sdsu.edu
130.191.21.237	atlas1.sdsu.edu
130.191.21.238	atlas2.sdsu.edu
130.191.21.239	atlas3.sdsu.edu
130.191.22.81	granet.sdsu.edu
130.191.22.90	righ.sdsu.edu
130.191.24.11	muse.sdsu.edu
130.191.24.70	www.avpaa.sdsu.edu
130.191.24.92	oir.sdsu.edu
130.191.24.101	asir-mac.sdsu.edu
130.191.24.102	boggart.sdsu.edu
130.191.24.156	sdsu.edu
130.191.25.50	billybob.sdsu.edu
130.191.29.74	cbasoftware.cba.sdsu.edu
130.191.31.1	terminus.sdsu.edu
130.191.31.2	pallas.sdsu.edu
130.191.31.3	inrainbows.sdsu.edu
130.191.31.4	pymloboss.sdsu.edu
130.191.31.6	lovran.sdsu.edu
130.191.31.7	pymlo.sdsu.edu
130.191.31.8	pymlochuck.sdsu.edu
130.191.31.9	mlo-remote.sdsu.edu
130.191.31.14	h2.sdsu.edu
130.191.31.15	he3.sdsu.edu
130.191.31.16	he4.sdsu.edu
130.191.31.17	li7.sdsu.edu
130.191.31.20	nlds-cluster.sdsu.edu
130.191.31.21	cosgeoloce.sdsu.edu
130.191.31.25	proteus.sdsu.edu
130.191.31.26	nova.sdsu.edu
130.191.31.28	radon.sdsu.edu
130.191.31.29	limpetfarmer.sdsu.edu
130.191.31.30	behemoth.sdsu.edu
130.191.31.31	sterope.sdsu.edu
130.191.32.1	kenperry.sdsu.edu
130.191.32.32	bus-aff-1.sdsu.edu
130.191.32.33	bus-aff-1-mac1.sdsu.edu
130.191.32.34	bus-aff-1-mac2.sdsu.edu
130.191.32.35	bus-aff-1-mac3.sdsu.edu
130.191.32.36	bus-aff-1-mac4.sdsu.edu
130.191.32.37	telecom.sdsu.edu
130.191.32.38	bus-aff-1-mac6.sdsu.edu
130.191.32.39	bus-aff-1-mac7.sdsu.edu
130.191.32.40	bus-aff-1-mac8.sdsu.edu
130.191.32.41	bus-aff-1-mac9.sdsu.edu
130.191.32.42	bus-aff-1-mac10.sdsu.edu
130.191.32.43	bus-aff-1-mac11.sdsu.edu
130.191.32.44	bus-aff-1-mac12.sdsu.edu
130.191.32.45	bus-aff-1-mac13.sdsu.edu
130.191.32.46	bus-aff-1-mac14.sdsu.edu
130.191.32.47	bus-aff-1-mac15.sdsu.edu
130.191.32.48	bus-aff-1-mac16.sdsu.edu
130.191.32.49	bus-aff-1-mac17.sdsu.edu
130.191.32.50	bus-aff-1-mac18.sdsu.edu
130.191.32.51	bus-aff-1-mac19.sdsu.edu
130.191.32.52	bus-aff-1-mac20.sdsu.edu
130.191.32.53	bus-aff-1-mac21.sdsu.edu
130.191.32.54	bus-aff-1-mac22.sdsu.edu
130.191.32.55	bus-aff-1-mac23.sdsu.edu
130.191.32.56	bus-aff-1-mac24.sdsu.edu
130.191.32.57	bus-aff-1-mac25.sdsu.edu
130.191.32.58	bus-aff-1-mac26.sdsu.edu
130.191.32.59	bus-aff-1-mac27.sdsu.edu
130.191.32.60	bus-aff-1-mac28.sdsu.edu
130.191.32.61	bus-aff-1-mac29.sdsu.edu
130.191.32.62	bus-aff-1-mac30.sdsu.edu
130.191.32.101	vasquez.sdsu.edu
130.191.33.10	bulba.sdsu.edu
130.191.33.65	lib-vc1.lib.sdsu.edu
130.191.33.66	aa-vc1.sdsu.edu
130.191.33.67	lib-vum.lib.sdsu.edu
130.191.33.80	aa-assist.sdsu.edu
130.191.33.81	lib-esx01.lib.sdsu.edu
130.191.33.82	lib-esx02.lib.sdsu.edu
130.191.33.83	lib-esx03.lib.sdsu.edu
130.191.33.84	lib-esx04.lib.sdsu.edu
130.191.33.85	aa-esx01.sdsu.edu
130.191.33.86	aa-esx02.sdsu.edu
130.191.33.87	aa-esx03.sdsu.edu
130.191.33.88	aa-esx04.sdsu.edu
130.191.33.89	aa-esx05.sdsu.edu
130.191.33.90	aa-esx06.sdsu.edu
130.191.33.91	aa-esx07.sdsu.edu
130.191.33.92	aa-esx08.sdsu.edu
130.191.33.97	aa-veeamlz01-idrac.sdsu.edu
130.191.33.98	aa-cloudlanes-idrac.sdsu.edu
130.191.33.99	aa-pdu01-mgt.sdsu.edu
130.191.33.100	aa-pdu02-mgt.sdsu.edu
130.191.33.107	aa-esx01-idrac.sdsu.edu
130.191.33.108	aa-esx02-idrac.sdsu.edu
130.191.33.109	aa-esx03-idrac.sdsu.edu
130.191.33.110	aa-esx04-idrac.sdsu.edu
130.191.33.111	aa-esx05-idrac.sdsu.edu
130.191.33.112	aa-esx06-idrac.sdsu.edu
130.191.33.113	aa-esx07-idrac.sdsu.edu
130.191.33.114	aa-esx08-idrac.sdsu.edu
130.191.33.124	aa-veeamlz01.sdsu.edu
130.191.33.125	aa-cloudlanes.sdsu.edu
130.191.34.1	osullivan.sdsu.edu
130.191.34.2	poincare.sdsu.edu
130.191.34.3	qmc.sdsu.edu
130.191.34.8	xena.sdsu.edu
130.191.34.9	bronte.sdsu.edu
130.191.35.33	arconline.sdsu.edu
130.191.35.34	asselfservice.sdsu.edu
130.191.35.65	dogbert.sdsu.edu
130.191.35.69	pa200.sdsu.edu
130.191.35.78	pan-gateway.sdsu.edu
130.191.35.81	ratbert.sdsu.edu
130.191.35.83	ohacams.sdsu.edu
130.191.35.129	test.sdsu.edu
130.191.35.130	helmholtz.sdsu.edu
130.191.35.131	gibbs.sdsu.edu
130.191.35.133	eon.sdsu.edu
130.191.35.136	romulus.sdsu.edu
130.191.35.137	ion.sdsu.edu
130.191.35.138	pon.sdsu.edu
130.191.35.140	qon.sdsu.edu
130.191.35.141	fermi.sdsu.edu
130.191.35.142	xon.sdsu.edu
130.191.35.143	entropy.sdsu.edu
130.191.35.144	uon.sdsu.edu
130.191.35.225	dogbert-mgt.sdsu.edu
130.191.35.226	ratbert-mgt.sdsu.edu
130.191.35.227	phil.sdsu.edu
130.191.35.228	asok.sdsu.edu
130.191.35.229	tic.sdsu.edu
130.191.35.231	toe.sdsu.edu
130.191.35.232	citadel1.sdsu.edu
130.191.35.233	lloyds.sdsu.edu
130.191.35.234	skypark.sdsu.edu
130.191.35.235	bonnie.sdsu.edu
130.191.35.236	clyde.sdsu.edu
130.191.35.240	cyclades.sdsu.edu
130.191.35.250	pa200-mgt.sdsu.edu
130.191.36.2	personnel-1.sdsu.edu
130.191.36.3	personnel-1-mac1.sdsu.edu
130.191.36.4	personnel-1-mac2.sdsu.edu
130.191.36.5	personnel-1-mac3.sdsu.edu
130.191.36.6	personnel-1-mac4.sdsu.edu
130.191.36.7	personnel-1-mac5.sdsu.edu
130.191.36.8	personnel-1-mac6.sdsu.edu
130.191.36.9	personnel-1-mac7.sdsu.edu
130.191.36.10	personnel-1-mac8.sdsu.edu
130.191.36.11	personnel-1-mac9.sdsu.edu
130.191.36.12	personnel-1-mac10.sdsu.edu
130.191.36.13	personnel-1-mac11.sdsu.edu
130.191.36.14	personnel-1-mac12.sdsu.edu
130.191.36.15	personnel-1-mac13.sdsu.edu
130.191.36.16	personnel-1-mac14.sdsu.edu
130.191.36.17	personnel-1-mac15.sdsu.edu
130.191.36.18	personnel-1-mac16.sdsu.edu
130.191.36.19	personnel-1-mac17.sdsu.edu
130.191.36.20	personnel-1-mac18.sdsu.edu
130.191.36.21	personnel-1-mac19.sdsu.edu
130.191.36.22	personnel-1-mac20.sdsu.edu
130.191.36.23	personnel-1-mac21.sdsu.edu
130.191.36.24	personnel-1-mac22.sdsu.edu
130.191.36.25	personnel-1-mac23.sdsu.edu
130.191.36.26	personnel-1-mac24.sdsu.edu
130.191.36.27	personnel-1-mac25.sdsu.edu
130.191.36.28	personnel-1-mac26.sdsu.edu
130.191.36.29	personnel-1-mac27.sdsu.edu
130.191.36.30	personnel-1-mac28.sdsu.edu
130.191.36.31	personnel-1-mac29.sdsu.edu
130.191.36.32	personnel-1-mac30.sdsu.edu
